$n_0$,$n_1$,$n_2$,$n_3$,$n_4$,N,k,params_label
81246.0,2414.0,25610.0,1599.0,0.0,110869.0,4,s6/mu10minus5
67456.0,2661.0,33180.0,1988.0,3.0,105348.0,4,s6/mu10minus5
19036.0,1657.0,79840.0,5964.0,2.0,107053.0,4,s6/mu10minus5
6287.0,0.0,90877.0,863.0,2.0,100387.0,4,s6/mu10minus5
14287.0,231.0,56508.0,33963.0,4.0,105072.0,4,s6/mu10minus5
38369.0,1868.0,49176.0,22981.0,2.0,112549.0,4,s6/mu10minus5
12365.0,0.0,47813.0,43467.0,2.0,103669.0,4,s6/mu10minus5
740.0,82.0,39984.0,64742.0,1.0,105569.0,4,s6/mu10minus5
87426.0,4687.0,1178.0,17755.0,2.0,112366.0,4,s6/mu10minus5
31147.0,1807.0,80975.0,263.0,3.0,114195.0,4,s6/mu10minus5
43022.0,0.0,35627.0,26074.0,0.0,104770.0,4,s6/mu10minus5
8028.0,0.0,97622.0,1292.0,2.0,107332.0,4,s6/mu10minus5
13450.0,0.0,87386.0,5019.0,3.0,105867.0,4,s6/mu10minus5
3999.0,0.0,91430.0,15352.0,3.0,110793.0,4,s6/mu10minus5
17864.0,5.0,61261.0,23741.0,2.0,102891.0,4,s6/mu10minus5
71551.0,9702.0,18955.0,3030.0,3.0,103255.0,4,s6/mu10minus5
86271.0,6541.0,7756.0,5922.0,2.0,106965.0,4,s6/mu10minus5
7177.0,0.0,65208.0,17838.0,2.0,90275.0,4,s6/mu10minus5
14967.0,901.0,72351.0,3332.0,2.0,91789.0,4,s6/mu10minus5
6962.0,134.0,61728.0,29909.0,4.0,98737.0,4,s6/mu10minus5
3983.0,111.0,47963.0,45797.0,2.0,97864.0,4,s6/mu10minus5
11242.0,469.0,86729.0,2512.0,1.0,100961.0,4,s6/mu10minus5
43936.0,0.0,48501.0,5109.0,4.0,97667.0,4,s6/mu10minus5
38586.0,0.0,49571.0,3323.0,6.0,91488.0,4,s6/mu10minus5
23298.0,0.0,18145.0,57195.0,2.0,98640.0,4,s6/mu10minus5
72803.0,2609.0,438.0,24956.0,2.0,100811.0,4,s6/mu10minus5
77733.0,6114.0,18803.0,9300.0,0.0,111952.0,4,s6/mu10minus5
1056.0,104.0,52311.0,41705.0,2.0,95493.0,4,s6/mu10minus5
5726.0,0.0,83470.0,17259.0,2.0,106558.0,4,s6/mu10minus5
23357.0,0.0,60860.0,14405.0,2.0,98871.0,4,s6/mu10minus5
3076.0,285.0,74564.0,5626.0,1.0,83586.0,4,s6/mu10minus5
25776.0,6757.0,49197.0,7536.0,2.0,89268.0,4,s6/mu10minus5
27859.0,0.0,41194.0,30412.0,3.0,99469.0,4,s6/mu10minus5
55859.0,7238.0,34730.0,4321.0,2.0,102150.0,4,s6/mu10minus5
2541.0,0.0,92489.0,4219.0,2.0,99314.0,4,s6/mu10minus5
18026.0,0.0,65785.0,9274.0,2.0,93087.0,4,s6/mu10minus5
2686.0,0.0,99958.0,624.0,0.0,103275.0,4,s6/mu10minus5
16427.0,340.0,81990.0,9610.0,4.0,108536.0,4,s6/mu10minus5
13006.0,0.0,43698.0,25038.0,2.0,82028.0,4,s6/mu10minus5
91622.0,5542.0,7243.0,319.0,2.0,104759.0,4,s6/mu10minus5
1561.0,0.0,93359.0,4208.0,3.0,99135.0,4,s6/mu10minus5
3097.0,740.0,47226.0,46124.0,2.0,97189.0,4,s6/mu10minus5
11315.0,395.0,2958.0,85907.0,4.0,100586.0,4,s6/mu10minus5
18960.0,0.0,75314.0,11670.0,2.0,105948.0,4,s6/mu10minus5
75373.0,1086.0,17367.0,21034.0,3.0,114915.0,4,s6/mu10minus5
26084.0,599.0,51420.0,32232.0,2.0,112131.0,4,s6/mu10minus5
13871.0,294.0,60874.0,27897.0,2.0,103125.0,4,s6/mu10minus5
69164.0,1940.0,25632.0,8368.0,3.0,105107.0,4,s6/mu10minus5
8440.0,769.0,45963.0,51757.0,2.0,112918.0,4,s6/mu10minus5
60188.0,454.0,315.0,34662.0,4.0,97503.0,4,s6/mu10minus5
2696.0,115.0,94945.0,13178.0,2.0,111020.0,4,s6/mu10minus5
27858.0,496.0,35523.0,37487.0,2.0,101366.0,4,s6/mu10minus5
1148.0,0.0,72416.0,28717.0,4.0,102786.0,4,s6/mu10minus5
12861.0,85.0,68465.0,8268.0,2.0,91312.0,4,s6/mu10minus5
9025.0,286.0,50759.0,33289.0,2.0,94310.0,4,s6/mu10minus5
54848.0,9698.0,6713.0,13229.0,4.0,89661.0,4,s6/mu10minus5
24473.0,1946.0,30625.0,36956.0,2.0,94070.0,4,s6/mu10minus5
1821.0,40.0,99294.0,24060.0,3.0,125307.0,4,s6/mu10minus5
1292.0,0.0,46316.0,46211.0,2.0,93842.0,4,s6/mu10minus5
36446.0,5206.0,36731.0,6007.0,2.0,84392.0,4,s6/mu10minus5
1627.0,0.0,93238.0,1915.0,3.0,96791.0,4,s6/mu10minus5
38379.0,8160.0,59775.0,4088.0,0.0,110691.0,4,s6/mu10minus5
38551.0,969.0,14921.0,36429.0,2.0,90872.0,4,s6/mu10minus5
20556.0,658.0,81469.0,8414.0,2.0,111146.0,4,s6/mu10minus5
10285.0,896.0,14727.0,55153.0,2.0,81063.0,4,s6/mu10minus5
80705.0,9427.0,9836.0,16893.0,2.0,116902.0,4,s6/mu10minus5
1128.0,55.0,96234.0,8844.0,2.0,109856.0,4,s6/mu10minus5
4187.0,338.0,57804.0,23739.0,2.0,86084.0,4,s6/mu10minus5
34976.0,2045.0,6345.0,49008.0,2.0,92376.0,4,s6/mu10minus5
13271.0,0.0,74683.0,399.0,2.0,88371.0,4,s6/mu10minus5
105.0,0.0,60593.0,46562.0,3.0,107479.0,4,s6/mu10minus5
55898.0,4715.0,38058.0,14734.0,2.0,113505.0,4,s6/mu10minus5
44097.0,5868.0,7786.0,48647.0,2.0,106842.0,4,s6/mu10minus5
12213.0,867.0,74268.0,20397.0,0.0,107745.0,4,s6/mu10minus5
1345.0,0.0,79536.0,15867.0,2.0,96750.0,4,s6/mu10minus5
67271.0,824.0,33869.0,3717.0,3.0,106092.0,4,s6/mu10minus5
24748.0,0.0,60892.0,2486.0,3.0,88158.0,4,s6/mu10minus5
60190.0,0.0,4072.0,40250.0,3.0,110468.0,4,s6/mu10minus5
47357.0,993.0,33706.0,30628.0,2.0,114779.0,4,s6/mu10minus5
3318.0,717.0,70778.0,16391.0,0.0,91852.0,4,s6/mu10minus5
29749.0,60.0,76613.0,195.0,3.0,106624.0,4,s6/mu10minus5
10618.0,2509.0,67241.0,11530.0,2.0,97885.0,4,s6/mu10minus5
7678.0,1965.0,73489.0,24396.0,2.0,116182.0,4,s6/mu10minus5
27390.0,0.0,66840.0,18574.0,2.0,112844.0,4,s6/mu10minus5
62996.0,1476.0,13200.0,22323.0,3.0,100002.0,4,s6/mu10minus5
16941.0,338.0,29307.0,60524.0,1.0,107116.0,4,s6/mu10minus5
9537.0,0.0,15249.0,84939.0,3.0,109868.0,4,s6/mu10minus5
35858.0,0.0,50773.0,12924.0,2.0,100028.0,4,s6/mu10minus5
65641.0,1128.0,23789.0,6750.0,2.0,97386.0,4,s6/mu10minus5
651.0,0.0,36486.0,64768.0,0.0,101906.0,4,s6/mu10minus5
10002.0,0.0,100470.0,618.0,3.0,111134.0,4,s6/mu10minus5
18540.0,1756.0,78750.0,3099.0,2.0,102147.0,4,s6/mu10minus5
60325.0,2859.0,35056.0,181.0,3.0,98424.0,4,s6/mu10minus5
789.0,0.0,88573.0,6434.0,2.0,95803.0,4,s6/mu10minus5
14947.0,1393.0,79874.0,759.0,1.0,97113.0,4,s6/mu10minus5
6153.0,318.0,62718.0,39460.0,2.0,109101.0,4,s6/mu10minus5
18986.0,0.0,56877.0,35112.0,2.0,110977.0,4,s6/mu10minus5
36395.0,1515.0,54669.0,16040.0,2.0,108621.0,4,s6/mu10minus5
18499.0,1058.0,74486.0,7148.0,2.0,101314.0,4,s6/mu10minus5
55073.0,3422.0,34195.0,2048.0,2.0,94784.0,4,s6/mu10minus5
31097.0,3236.0,56231.0,10096.0,4.0,100686.0,4,s6/mu10minus5
21831.0,23.0,68905.0,545.0,3.0,92691.0,4,s6/mu10minus5
36997.0,3247.0,59933.0,224.0,2.0,100852.0,4,s6/mu10minus5
60656.0,982.0,23692.0,9133.0,0.0,94464.0,4,s6/mu10minus5
92885.0,5114.0,9778.0,2171.0,3.0,110099.0,4,s6/mu10minus5
30641.0,828.0,9651.0,71541.0,2.0,112666.0,4,s6/mu10minus5
34761.0,0.0,52166.0,1033.0,3.0,87993.0,4,s6/mu10minus5
7819.0,0.0,86848.0,4866.0,3.0,103364.0,4,s6/mu10minus5
3158.0,66.0,90511.0,5917.0,2.0,99695.0,4,s6/mu10minus5
34534.0,0.0,15241.0,50030.0,4.0,100452.0,4,s6/mu10minus5
59200.0,750.0,46794.0,3699.0,2.0,110446.0,4,s6/mu10minus5
4565.0,0.0,78800.0,18465.0,2.0,102020.0,4,s6/mu10minus5
12134.0,0.0,84564.0,4460.0,1.0,101172.0,4,s6/mu10minus5
18540.0,987.0,72254.0,569.0,3.0,93485.0,4,s6/mu10minus5
86442.0,0.0,2136.0,22260.0,2.0,110873.0,4,s6/mu10minus5
