$n_0$,$n_1$,$n_2$,$n_3$,$n_4$,N,k,params_label,$f_0$,$f_1$,$f_2$,$f_3$,7322 exp. diff,25568R exp. diff,7328 exp. diff,27510 exp. diff,2261 exp. diff,47668 exp. diff
35424.0,4935.0,68668.0,5093.0,2.0,114122.0,4,s6/mu10minus5,0.31040465466781164,0.04324319587809537,0.6017069451989976,0.044627679150382925,3.168593466348649,3.2422929574445964,3.141495306612857,3.2392810507904444,3.5268342353107065,3.4799327780063276
12508.0,980.0,3715.0,69873.0,2.0,87078.0,4,s6/mu10minus5,0.14364133305771837,0.011254277773949791,0.042662899928799465,0.802418521325708,2.9330974843513826,2.8125875991212297,3.3720957982804243,3.431215196539611,2.8570766192903045,2.7701755741172116
83816.0,0.0,5850.0,2128.0,3.0,91798.0,4,s6/mu10minus5,0.9130482145580514,0.0,0.0637268785812327,0.023181332926643282,3.6944698744443096,3.6827852958266134,3.2423682429517364,3.2808423885616866,3.360754364537046,3.4227279000913255
51725.0,12178.0,8002.0,38526.0,2.0,110463.0,4,s6/mu10minus5,0.4682563392267094,0.1102450594316649,0.0724405457030861,0.34876836587816734,3.365322693629441,3.2069855529243445,3.3714967530951743,3.335812983093608,3.3216428406638427,3.198417278802656
978.0,0.0,6681.0,88556.0,2.0,96217.0,4,s6/mu10minus5,0.010164523940675765,0.0,0.06943679391375744,0.9203778957980399,2.7763424452243757,2.7152340927084575,3.470915554809866,3.291190051410099,2.749488377002273,2.671305908421704
7786.0,76.0,94538.0,455.0,0.0,103110.0,4,s6/mu10minus5,0.07551158956454272,0.0007370769081563379,0.9168654834642614,0.004412763068567549,2.8714262856286945,2.992081284737311,3.184556990255103,3.2380102347391397,3.146025523139191,3.1831052350270577
6609.0,247.0,88915.0,27631.0,2.0,123404.0,4,s6/mu10minus5,0.05355580046027682,0.002001555865287997,0.7205195941784707,0.22390684256588117,2.7581081987441287,2.8950552297139764,3.4341892617130156,3.342367805194765,3.1917552379671603,3.1021668586670055
49959.0,304.0,51181.0,4347.0,3.0,107353.0,4,s6/mu10minus5,0.46537125185136885,0.002831779270257934,0.47675425931273463,0.04049258055201066,3.317864270916902,3.4751923804996734,3.1502540594627453,3.2300150509095356,3.802892728466679,3.757646266867209
15669.0,1532.0,58163.0,25106.0,3.0,100816.0,4,s6/mu10minus5,0.1554217584510395,0.01519600063481987,0.5769223139184256,0.24902793207427393,2.881075758674845,3.0191528906737255,3.3857490299843005,3.3990692144160617,3.333649141703079,3.2434165513306885
33533.0,1057.0,61947.0,1268.0,2.0,97809.0,4,s6/mu10minus5,0.34284166078786205,0.010806776472512755,0.6333466245437537,0.012964042163809057,3.172890646665084,3.3043539967718414,3.1044684449562947,3.1991394604320647,3.529409113662515,3.5414958462058537
